family,libr,branch,x,y,z,vx,vy,vz,jacobi,period,stability,target_jacobi,jacobi_diff
halo,3.0,S,-1.0052049537447887e+00, 2.3098841537111436e-23,-1.5741108377061328e+00, 7.4301206190220689e-12, 7.5666636572164025e-01, 7.8875339160387019e-12,1.50899313911777,6.2167699918216694,1.19237337228206,1.5090080471763234,1.4908058553420034e-05
halo,3.0,S,-1.1482702383743530e+00,-1.5597480590767493e-23,-1.4334811754756589e+00, 2.6232511317845406e-12, 8.6403520096836461e-01, 4.1302968647773592e-12,1.66155747727137,6.223987141238729,1.22002068959874,1.6614220699115445,0.0001354073598254235
halo,3.0,S,-1.2751955369157404e+00,-6.6278851663078821e-24,-1.2796850168121474e+00,-2.7083686115108076e-12, 9.5943806149297062e-01, 1.8526679940544819e-12,1.81376868109666,6.228958167120848,1.24900217669934,1.8138360926467656,6.741155010558941e-05
halo,3.0,S,-1.3912153504162879e+00, 2.9073506267508114e-23,-1.1063345165663849e+00,-2.7953573188090265e-12, 1.0469591777618401e+00, 1.5703508104359385e-12,1.96610049812767,6.232589731250976,1.27995373588386,1.9662501153819867,0.00014961725431672512
halo,3.0,S,-1.4992458780685620e+00, 2.1409513650981548e-23,-9.0156971461648794e-01, 2.3766736790622237e-12, 1.1288302247044664e+00, 1.4570748062924468e-12,2.11874861124298,6.23534023225123,1.31283190913548,2.1186641381172078,8.447312577208876e-05
halo,3.0,S,-1.6006511573505628e+00, 4.0630193256810481e-23,-6.3650172565299967e-01, 1.8369693284343645e-14, 1.2060516739863210e+00, 6.5706724296715753e-13,2.27115739098763,6.237467820405338,1.34722300986647,2.271078160852429,7.923013520105826e-05
halo,3.0,S,-1.6967233092486720e+00, 3.1756007279014768e-23,-1.0136396075463166e-02,-5.8932494929994690e-13, 1.2795419587406101e+00, 1.3980383346242373e-14,2.42349218358765,6.239147109296424,1.38283997251452,2.42349218358765,0.0
vertical,1.0,, 9.2130973393342841e-01,-3.9656866886127346e-27,-5.3541824154558345e-12, 4.5478804827801019e-11,-2.0325610683233442e+00,-1.3923413534911852e-01,-0.820133585729988,6.299874862351734,1.42403398554815,-0.820133585729988,0.0
vertical,1.0,, 9.1873060216882374e-01, 1.5684219762230637e-29,-2.0830516392163644e-13, 2.3246669271745749e-13,-1.8006606345405793e+00,-6.8669964879966017e-01,-0.395887379535004,6.296074126456244,16.8524081931318,-0.3960991940002482,0.00021181446524415337
vertical,1.0,, 9.1584996100541249e-01,-3.2570438904273488e-29,-4.4163672198795213e-14, 1.3091567946656158e-14,-1.5675298834994840e+00,-9.0558439830604609e-01,0.0280514951403804,6.291013149683104,38.0574099047667,0.0279351977294916,0.0001162974108888
vertical,1.0,, 9.1257207072528301e-01,-4.5804487082404047e-29,-6.5337074302457537e-15,-3.0151298121981760e-14,-1.3326144455497477e+00,-1.0315845408529445e+00,0.452112931161451,6.283992162733634,63.3723846895501,0.4519695894592314,0.00014334170221963483
vertical,1.0,, 9.0875710222319439e-01,-4.1791077494485827e-29, 6.0345631890949667e-14,-5.3191448121585897e-14,-1.0956591696383224e+00,-1.0964045300174983e+00,0.875900354651329,6.2737285573320625,91.7126075276122,0.8760039811889712,0.00010362653764217633
vertical,1.0,, 9.0416111611424044e-01,-8.5218207450453883e-29, 6.1796354925308928e-13,-2.1114081095207276e-13,-8.5545877389596992e-01,-1.1099640774903683e+00,1.30019727281964,6.257525649659581,122.117887755288,1.3000383729187113,0.00015889990092876616
vertical,1.0,, 8.9836630169488552e-01, 9.4249277534417447e-29, 1.1462870692772809e-12,-3.2649709245318276e-13,-6.1118912918453105e-01,-1.0727916994422522e+00,1.72406565106265,6.228949917632603,153.07656773943,1.7240727646484508,7.113585800855304e-06
vertical,1.0,, 8.9048692200933455e-01, 4.3445161358807526e-24, 1.2005414801451598e-12,-8.0970402006022185e-13,-3.5995123442336174e-01,-9.7673672414751622e-01,2.14778871604476,6.167917713696569,181.258481711678,2.1481071563781904,0.0003184403334302033
